year,gap,cusum_plus,cusum_minus
1965,-0.02374906455821039,0.03692038718111736,0.0
1975,-0.1283921895217892,0.0,0.05772273778246146
1985,-0.04417556856827826,0.01649388317104949,0.031228854611411967
1990,-0.0731087417845718,0.0040545931258054455,0.03366814465665601
1995,-0.0603816895316093,0.0043423553335238995,0.023380382448937555
2000,-0.06307083426475696,0.0019409728080946962,0.015781764974366758
2005,-0.055160147606870186,0.007450276940552266,0.00027246084190918774
2010,-0.07731737807853603,0.0,0.006920387181117462
2015,-0.0703608220212173,0.0,0.006611757463007001
2016,-0.0570179898726606,0.003651461866667154,0.0
2017,-0.0544026126621665,0.00991830094382841,0.0
2018,-0.0619116582514921,0.008676094431664064,0.0
2019,-0.0606434598846663,0.008702086286325517,0.0
2020,-0.0624866652710757,0.006884872754577572,0.0
2021,-0.0613103428936668,0.006243981600238529,0.0
2022,-0.0591005057526764,0.007812927586889885,0.0
2023,-0.0576184672195121,0.010863912106705537,0.0
2024,-0.0503254679716939,0.021207895874339393,0.0
