year,era,weighted_gap,n_pitches,n_pa,below_floor,source
1955,post_war,-0.06973129921361379,4,29,True,retrosheet
1960,post_war,-0.10211343413827534,10,38,True,retrosheet
1965,post_war,-0.02374906455821039,3,48,False,retrosheet
1975,expansion,-0.1283921895217892,3,47,False,retrosheet
1985,expansion,-0.04417556856827826,7,52,False,retrosheet
1990,expansion,-0.0731087417845718,153,62,False,retrosheet
1995,offense_explosion,-0.0603816895316093,180,67,False,retrosheet
2000,offense_explosion,-0.06307083426475696,200,71,False,retrosheet
2005,offense_explosion,-0.055160147606870186,195,78,False,retrosheet
2010,post_steroid,-0.07731737807853603,165,60,False,retrosheet
2015,statcast,-0.0703608220212173,108,27,False,statcast
2016,statcast,-0.0570179898726606,131,32,False,statcast
2017,statcast,-0.0544026126621665,201,50,False,statcast
2018,statcast,-0.0619116582514921,177,44,False,statcast
2019,statcast,-0.0606434598846663,204,51,False,statcast
2020,statcast,-0.0624866652710757,91,22,False,statcast
2021,statcast,-0.0613103428936668,189,47,False,statcast
2022,statcast,-0.0591005057526764,149,37,False,statcast
2023,statcast,-0.0576184672195121,207,51,False,statcast
2024,statcast,-0.0503254679716939,175,43,False,statcast
