year,deficit,swing_rate,n,era
1985,all,0.0,1,expansion
1990,all,0.0,1,expansion
1995,all,0.0,5,offense_explosion
1995,0,0.0,2,offense_explosion
1995,1,0.0,3,offense_explosion
2000,all,0.0,2,offense_explosion
2000,0,0.0,2,offense_explosion
2005,all,0.0,3,offense_explosion
2010,all,0.0,3,post_steroid
2015,all,0.0,3,statcast
2016,all,0.0,2,statcast
2017,all,0.5,4,statcast
2017,0,0.0,2,statcast
2018,all,0.0,3,statcast
2018,1,0.0,2,statcast
2019,all,0.125,8,statcast
2019,1,0.0,2,statcast
2020,all,0.0,1,statcast
2021,all,0.0,3,statcast
2022,all,0.0,3,statcast
2023,all,0.0,4,statcast
2023,1,0.0,2,statcast
2024,all,0.16666666666666666,6,statcast
2024,1,0.0,4,statcast
