era,deficit,balls,strikes,count,obs_swing_rate,optimal_action,v_observed,v_optimal,gap,n_pitches
statcast,0,0,0,0-0,0.3670886075949367,swing,0.5120608257519241,0.521191921637817,-0.009131095885892893,158
statcast,0,0,1,0-1,0.5066666666666667,swing,0.41247228570865363,0.43398671132041733,-0.0215144256117637,75
statcast,0,0,2,0-2,0.6136363636363636,swing,0.21814796342970239,0.29373684602683425,-0.07558888259713187,44
statcast,0,1,0,1-0,0.53125,take,0.5298240849020902,0.5396071995943518,-0.009783114692261563,64
statcast,0,1,1,1-1,0.47619047619047616,swing,0.42869947181416035,0.43398671132041733,-0.00528723950625698,63
statcast,0,1,2,1-2,0.6428571428571429,swing,0.2238647697319055,0.29373684602683425,-0.06987207629492875,56
statcast,0,2,0,2-0,0.26666666666666666,take,0.5777146250076097,0.5872703381722207,-0.009555713164611013,15
statcast,0,2,1,2-1,0.6388888888888888,take,0.45155167046746625,0.4826281340612526,-0.031076463593786352,36
statcast,0,2,2,2-2,0.7346938775510204,swing,0.252777209663874,0.29373684602683425,-0.04095963636296024,49
statcast,0,3,0,3-0,0.0,take,0.6344920067475135,0.6344920067475135,0.0,5
statcast,0,3,1,3-1,0.3076923076923077,take,0.5381290088636372,0.5678687101826738,-0.029739701319036582,13
statcast,0,3,2,3-2,0.8181818181818182,take,0.32416244993234106,0.3536096162533311,-0.029447166320990037,22
statcast,1,0,0,0-0,0.25892857142857145,swing,0.5378559870197743,0.5566357355813063,-0.018779748561531973,112
statcast,1,0,1,0-1,0.5901639344262295,swing,0.4584352949297555,0.475138502917705,-0.016703207987949498,61
statcast,1,0,2,0-2,0.5897435897435898,swing,0.26905891920313424,0.34406862896812296,-0.07500970976498872,39
statcast,1,1,0,1-0,0.35555555555555557,swing,0.5403046452698814,0.5566357355813063,-0.01633109031142488,45
statcast,1,1,1,1-1,0.5681818181818182,swing,0.45753939552053,0.475138502917705,-0.017599107397174962,44
statcast,1,1,2,1-2,0.5238095238095238,swing,0.25700378713881755,0.34406862896812296,-0.0870648418293054,42
statcast,1,2,0,2-0,0.25,swing,0.5376297249638096,0.5566357355813063,-0.019006010617496738,20
statcast,1,2,1,2-1,0.7368421052631579,swing,0.4644132856353813,0.475138502917705,-0.010725217282323674,19
statcast,1,2,2,2-2,0.7555555555555555,swing,0.29937534391302695,0.34406862896812296,-0.04469328505509601,45
statcast,1,3,0,3-0,0.0,swing,0.3379708069699975,0.5566357355813063,-0.21866492861130882,12
statcast,1,3,1,3-1,0.7,swing,0.4217614462444207,0.475138502917705,-0.053377056673284295,10
statcast,1,3,2,3-2,0.7916666666666666,swing,0.2962165837723089,0.34406862896812296,-0.04785204519581404,24
statcast,2,0,0,0-0,0.2891566265060241,swing,0.38581135646949904,0.3978477661022536,-0.012036409632754541,83
statcast,2,0,1,0-1,0.5777777777777777,swing,0.3318949100324517,0.343392958646683,-0.011498048614231315,45
statcast,2,0,2,0-2,0.5652173913043478,swing,0.20269843145853056,0.25581471049089893,-0.053116279032368374,23
statcast,2,1,0,1-0,0.45161290322580644,swing,0.38856216065204385,0.3978477661022536,-0.009285605450209733,31
statcast,2,1,1,1-1,0.6363636363636364,swing,0.33349033339160533,0.343392958646683,-0.00990262525507768,33
statcast,2,1,2,1-2,0.7,swing,0.21916447845401663,0.25581471049089893,-0.03665023203688231,40
statcast,2,2,0,2-0,0.0,swing,0.3809151882594194,0.3978477661022536,-0.016932577842834196,6
statcast,2,2,1,2-1,0.4444444444444444,swing,0.32826394652541246,0.343392958646683,-0.015129012121270546,9
statcast,2,2,2,2-2,0.875,swing,0.2405437814078331,0.25581471049089893,-0.01527092908306582,16
statcast,2,3,0,3-0,0.25,swing,0.1087068151953681,0.3978477661022536,-0.2891409509068855,4
statcast,2,3,1,3-1,0.6,swing,0.20007348593102203,0.343392958646683,-0.14331947271566098,5
statcast,2,3,2,3-2,0.625,swing,0.10848175603131642,0.25581471049089893,-0.1473329544595825,8
statcast,3,0,0,0-0,0.34328358208955223,swing,0.07805151454905265,0.08003014388938559,-0.001978629340332938,67
statcast,3,0,1,0-1,0.5,swing,0.06791788223999418,0.0703406772014056,-0.0024227949614114286,32
statcast,3,0,2,0-2,0.65,swing,0.047149067451864896,0.05475735955718216,-0.0076082921053172645,20
statcast,3,1,0,1-0,0.25925925925925924,swing,0.07779835631966044,0.08003014388938559,-0.002231787569725155,27
statcast,3,1,1,1-1,0.5925925925925926,swing,0.06836654822117597,0.0703406772014056,-0.001974128980229639,27
statcast,3,1,2,1-2,0.5925925925925926,swing,0.045901146383862015,0.05475735955718216,-0.008856213173320145,27
statcast,3,2,0,2-0,0.3333333333333333,swing,0.07802153528504568,0.08003014388938559,-0.0020086086043399065,9
statcast,3,2,1,2-1,0.6,swing,0.06840244149967051,0.0703406772014056,-0.001938235701735097,10
statcast,3,2,2,2-2,0.6666666666666666,swing,0.04751136711676896,0.05475735955718216,-0.007245992440413199,15
statcast,3,3,0,3-0,0.5,swing,0.04573110055918317,0.08003014388938559,-0.03429904333020242,4
statcast,3,3,1,3-1,0.5,swing,0.03846357121171817,0.0703406772014056,-0.03187710598968743,8
statcast,3,3,2,3-2,0.5,swing,0.01980292263166753,0.05475735955718216,-0.03495443692551463,10
