deficit,balls,strikes,count,swing_rate,optimal,v_obs,v_opt,gap,n
0,0,0,0-0,0.3670886075949367,take,0.7077355287540039,0.7565843489739047,-0.04884882021990078,158
1,0,0,0-0,0.25892857142857145,take,0.4941269992428139,0.5476542471877128,-0.05352724794489894,112
2,0,0,0-0,0.2891566265060241,take,0.35498026916919506,0.39701263075324583,-0.04203236158405077,83
3,0,0,0-0,0.34328358208955223,take,0.25847782926094154,0.2897758844759929,-0.03129805521505136,67
0,0,1,0-1,0.5066666666666667,take,0.5556313571958942,0.5899144576226514,-0.034283100426757196,75
1,0,1,0-1,0.5901639344262295,take,0.28041617191916596,0.38286829742781003,-0.10245212550864408,61
2,0,1,0-1,0.5777777777777777,take,0.20967134216214203,0.27904541303463815,-0.06937407087249611,45
3,0,1,0-1,0.5,take,0.1743804554740775,0.20861934535259904,-0.034238889878521556,32
0,0,2,0-2,0.6136363636363636,swing,0.37574989262557124,0.4270558470925526,-0.051305954466981385,44
1,0,2,0-2,0.5897435897435898,swing,0.17089086723286556,0.17112382086535527,-0.00023295363248970746,39
2,0,2,0-2,0.5652173913043478,swing,0.12715375504762566,0.12999732957545326,-0.0028435745278276026,23
3,0,2,0-2,0.65,swing,0.1058123217239472,0.11459688617539854,-0.008784564451451343,20
0,1,0,1-0,0.53125,take,0.7454227970378152,0.8317971212022386,-0.08637432416442337,64
1,1,0,1-0,0.35555555555555557,take,0.543199134757153,0.6220168570466327,-0.0788177222894797,45
2,1,0,1-0,0.45161290322580644,take,0.3794457831390308,0.45024744965291175,-0.07080166651388092,31
3,1,0,1-0,0.25925925925925924,take,0.30010669893470215,0.32639922849644487,-0.026292529561742717,27
0,1,1,1-1,0.47619047619047616,take,0.5961897604226915,0.6634073211501643,-0.06721756072747287,63
1,1,1,1-1,0.5681818181818182,take,0.3524846062418811,0.4784217831666148,-0.12593717692473372,44
2,1,1,1-1,0.6363636363636364,take,0.24655175019770165,0.3463060289951988,-0.09975427879749715,33
3,1,1,1-1,0.5925925925925926,take,0.19095935472851347,0.251048664349032,-0.06008930962051853,27
0,1,2,1-2,0.6428571428571429,swing,0.3913779598931305,0.4270558470925526,-0.03567788719942211,56
1,1,2,1-2,0.5238095238095238,take,0.22346645178276758,0.2475224430812834,-0.024055991298515822,42
2,1,2,1-2,0.7,take,0.15847839311288645,0.1791693383692924,-0.020690945256405968,40
3,1,2,1-2,0.5925925925925926,take,0.1244395316784208,0.12988576395385087,-0.005446232275430077,27
0,2,0,2-0,0.26666666666666666,take,0.8618506535798379,0.9077860330219468,-0.0459353794421089,15
1,2,0,2-0,0.25,take,0.6313951268493829,0.6868167048014534,-0.05542157795207048,20
2,2,0,2-0,0.0,take,0.49715287652033735,0.49715287651702234,3.315014929228255e-12,6
3,2,0,2-0,0.3333333333333333,take,0.3265958331335026,0.3604025206774831,-0.033806687543980474,9
0,2,1,2-1,0.6388888888888888,take,0.6307029577041755,0.770065155027678,-0.13936219732350252,36
1,2,1,2-1,0.7368421052631579,take,0.3936971931838216,0.5826192439840711,-0.18892205080024943,19
2,2,1,2-1,0.4444444444444444,take,0.34088200221562476,0.42172945275927654,-0.08084745054365178,9
3,2,1,2-1,0.6,take,0.23394591035902354,0.30572559279288364,-0.0717796824338601,10
0,2,2,2-2,0.7346938775510204,take,0.45371056204276733,0.4747935602986719,-0.021082998255904595,49
1,2,2,2-2,0.7555555555555555,take,0.2737906901352594,0.35922137671556076,-0.08543068658030134,45
2,2,2,2-2,0.875,take,0.19163146217618843,0.26002270983388476,-0.06839124765769633,16
3,2,2,2-2,0.6666666666666666,take,0.15888278277667006,0.18849904034526227,-0.029616257568592208,15
0,3,0,3-0,0.0,take,0.9699350447221969,0.9699350447221969,0.0,5
1,3,0,3-0,0.0,take,0.7338376743581152,0.7338376743581031,1.2101430968414206e-14,12
2,3,0,3-0,0.25,take,0.49482753148080744,0.5311890467369851,-0.036361515256177646,4
3,3,0,3-0,0.5,take,0.33847584465071506,0.3850764636472675,-0.046600618996552434,4
0,3,1,3-1,0.3076923076923077,take,0.8361869124391959,0.9033117481573574,-0.06712483571816152,13
1,3,1,3-1,0.7,take,0.5039430938533013,0.6834315309001033,-0.17948843704680206,10
2,3,1,3-1,0.6,take,0.38555070858815754,0.49470251541201876,-0.10915180682386122,5
3,3,1,3-1,0.5,take,0.2988050903182131,0.35862617344526054,-0.059821083127047425,8
0,3,2,3-2,0.8181818181818182,take,0.5601950168911698,0.6890526542280146,-0.12885763733684485,22
1,3,2,3-2,0.7916666666666666,take,0.35466847624945613,0.5213264538078385,-0.16665797755838235,24
2,3,2,3-2,0.625,take,0.2844267988540924,0.37736261262350074,-0.09293581376940835,8
3,3,2,3-2,0.5,take,0.2257835219680953,0.27356260694381007,-0.04777908497571476,10
